pk,uid,connections
69,1287873982482526208,"['1189344488382222336', '794443908486991876', '1183844114309107713', '1233276713162899456', '1198090642959872000', '1113183169644298246', '1351336554539585538', '1242881044388470786', '776914774445682689', '1350074326108807169', '959574822186508288', '16959216', '1332968505088458753', '706394380039544833', '2923474740', '1343665394809245698', '21537801', '1001965286348607488', '1269233706306342913', '1229495549897953280', '1436578262', '36313672', '1315268880336670720', '1034983920314593280', '947125994804137984', '25945732', '2837489893', '1202717900483772422', '1235653433627197442', '1209625640451874817', '1878174157', '927797192819032064', '796456205329657856']"
70,768269511866785793,[]
71,1005156942195642370,[]
72,1296760117254397952,[]
73,1351125785722179585,[]
74,1198090642959872000,['1001691750078078976']
75,16138341,[]
76,278264929,[]
77,17066023,[]
78,351229644,[]
79,1124291059503304704,[]
80,423999623,['4176057207']
81,1233276713162899456,[]
82,1141593358097440768,[]
83,1086093637593845761,"['1191739998183100416', '1570774003', '844356595735781376']"
84,2238364613,[]
85,1350074326108807169,[]
86,3784625243,"['1241718813491683329', '1202368997687275521']"
87,1297482875990925312,['796456205329657856']
88,1238918685764526080,[]
89,919463596358168578,"['3920289735', '794443908486991876']"
90,955491732539478017,"['1146240788', '1191739998183100416']"
91,3010389594,"['1336553789273165828', '2962293341', '459785730', '1199129271220002816', '21537801', '1022281503152062469', '2288820930', '4675943239']"
92,1044140072658980865,[]
93,500794341,[]
94,622122109,"['1218430910627897344', '702143152992313344', '836469832493080576', '1290107428004982786', '2288820930', '1202368997687275521']"
95,75756888,[]
96,1010914093992210433,"['3199845915', '1055913264129880064', '1321874999796523013', '2288820930', '1248584082445029381', '2992793751', '1180284099052728320', '1017296308342870017', '1309055787571044352', '1014652279528435713', '1170446364192444424', '1114975081212600320', '3331627803']"
97,1333631607127871490,[]
98,17239228,[]
99,1261591466268377089,[]
100,923417736943980544,[]
101,923161484645097472,[]
102,1249861115959525376,[]
103,2709722797,[]
104,140636962,[]
105,1334903263104266244,"['1202368997687275521', '1146240788', '1345440300702040065', '1335803688280002562', '2288820930']"
106,853861390221692928,"['858396196922109956', '1229495549897953280', '1266898602863071240']"
107,1001691750078078976,"['1315268880336670720', '1198090642959872000', '1878174157', '459785730', '1084825631253245952', '61893435', '184469967']"
108,1175825495734333441,[]
109,773730398597709824,['459785730']
110,1229588556542332928,[]
111,1345903993659269120,[]
112,1008492837896269825,[]
113,1297388227708551168,"['1146240788', '1242465959660716032', '1114975081212600320', '356249643']"
114,1250112923034411011,[]
115,1313672833583767553,[]
116,1206201712312238081,"['706394380039544833', '36175896', '2344519220', '1878174157', '3331627803', '21537801', '1235653433627197442', '786398898738737152', '973343660006817792', '1246583737124519938', '1114975081212600320', '1109530912511983616']"
117,843618405399715840,[]
118,288644170,[]
119,1146240788,"['2964391345', '1241718813491683329', '1335803688280002562', '116297007', '2962293341', '937845833843822592', '2634504171', '785905069367537664', '356249643', '1691658151', '1295853984608137217', '2992793751', '23148933', '1301651654069161985', '841753319139905536', '835127018916212740', '437918215', '1271236254592454662', '1310460427168550913', '1587062185', '955491732539478017', '1290338574500388865', '1290489991622094848', '1308907445255692288', '29240076', '22936656', '1108119684098879488', '1235653433627197442', '1046063860644548616', '3047561660', '782615293327585280', '25945732', '1174782208516734977', '392497998', '1114975081212600320', '423999623', '976843535029882880', '169389686', '2896899179', '1054242173707870213', '1204229532548419585', '1726953288', '914155890349150208', '4181685500', '3331627803', '61893435', '5943622', '184469967']"
120,888546253071679488,"['1199129271220002816', '1242668835792175105', '827575618766241792', '1209625640451874817', '2828506917']"
121,842747887,[]
122,1191583574597783553,[]
123,816423008260734978,['706394380039544833']
124,34821791,[]
125,896205182,[]
126,2204609910,"['1271097527673122816', '1351125785722179585', '1289292966196961280', '1169792414921515009', '27524557', '1315268880336670720', '998413056995708928', '876276781338296320', '1250278313701945346', '1151534251864723457', '1343665394809245698', '1666137794', '1320787471852957697', '1330625638084984832', '836469832493080576', '1315338410639478790', '459785730', '1319348416938496005', '1055913264129880064', '1334903263104266244', '1337151218880311298', '904817126665531392', '1308907445255692288', '2752145101', '1202717900483772422', '1247287096060137475', '1232341196430659584', '1320846991417552896', '1291858361714188289', '2547291020', '1135742101583347712', '1309055787571044352', '1108119684098879488', '1249148184842158083', '914155890349150208', '500794341', '2634504171', '1235653433627197442', '1014652279528435713', '21537801', '786398898738737152', '1285377900766789639', '5943622', '1204229532548419585', '1022281503152062469', '835127018916212740', '3331627803', '853861390221692928', '354598532', '140636962', '496004529', '25945732', '1246583737124519938', '882524476335771649', '1114975081212600320', '785905069367537664', '1032020371615174656', '1367996418', '1241718813491683329', '1228902931241455617', '17659689', '1190298167666806786', '544649099', '2949898547', '890438559030816768', '788853282651443201', '958816783942717440', '888546253071679488', '937556413898883074', '984247159066214400', '899730788257812480']"
127,2394835339,[]
128,469026872,"['34500613', '1235044580480946176', '976843535029882880']"
129,153659165,[]
130,1235724096236855296,[]
