pk,uid,connections
225,455261114,"['1351994423064862722', '1350074326108807169', '1242881044388470786', '3002991206', '1269005064829468672', '1351326369762979847', '877596573047414785', '849006768147582977', '1170446364192444424', '14051995', '1235448421676441600', '1351336554539585538', '1202394381933826048', '1022506327904608256', '1350491900382380032', '1210838727116779521', '1123467389654450177', '1349823231641862144', '1349793847145082883', '1234134099574476800', '1006574408', '1349436145013178368', '3138002277', '36175896', '1189344488382222336', '1348079207289663489', '34500613', '544649099', '739275363767881728', '1395707509', '1345903993659269120', '819343641604919300', '1335803688280002562', '776914774445682689', '143905506', '71100930', '770676583', '1346301553649590272', '2505651811', '1343648732621860864', '1184507359470612481', '1034042455799283713', '1345440300702040065', '1217314447833862144', '1126889352083189760', '61893435', '879707214797307904', '748609156811198464', '1343665394809245698', '2753028312', '1279445681380483073', '2931202552', '1339812393224871936', '1175545052808003584', '783028466346319872', '34821791', '1339823076452814848', '1341188950421950464', '1249861115959525376', '126856720', '964232560669753346', '45905012', '893960979825836033', '381766256', '836348157596471296', '165659955', '785327329769820160', '29488686', '348914862', '1137491888561217536', '1067590375026634752', '1301694836177854464', '1337151218880311298', '1250278313701945346', '918685220', '1212555393437597697', '1124291059503304704', '1247168157950844934', '1333144550404190209', '1336553789273165828', '1081087400', '4118124799', '1317036262243528704', '112941661', '288644170', '1112092816354746374', '356249643', '1334950219805548544', '1334903263104266244', '1333631607127871490', '1241718813491683329', '1333224863729922051', '1332968505088458753', '1322195978150125569', '177457008', '1212352198354407424', '1304540067445256194', '1296190200809488384', '1331606867219509250', '1330625638084984832', '1046774666688368640', '1005156942195642370', '3950452641', '828997376237002752', '1322936083739529223', '1329061913175711747', '1329041183729922055', '773730398597709824', '1326033211416342531', '862812529315262465', '172273396', '1188675985438367744', '1267545970717458442', '967650228789751808', '1110989422005309442', '1266212568122736641', '1291858361714188289', '1321874999796523013', '1257626100705918982', '931148100', '1326134677581815808', '2757826597', '1004785108249788417', '1315268880336670720', '1315338410639478790', '2828991508', '1324042134782058498', '717856851036123137', '1235044580480946176', '1270875535350980608', '1322569116876591111', '1200934269977333761', '1320846991417552896', '593535209', '1319348416938496005', '609469374', '1202368997687275521', '3084237105', '499237272', '1054242173707870213', '842796176', '1261591466268377089', '1287873982482526208', '1313672833583767553', '304250187', '1249597572412563457', '990973766', '1289183796395270145', '165252927', '1309055787571044352', '1277946953066663936', '1141593358097440768', '2415926929', '1016069884147568640', '1310460427168550913', '3258423608', '1309114160945475589', '27524557', '3943888574', '1105923286502965249', '506622916', '1158386372605952000', '858396196922109956', '999858809295155200', '1009133699332370433', '1308907445255692288', '1308204635308666881', '1247278211286929419', '1200924774148407296', '1304806684716609537', '24279084', '2797033771', '1701295940', '996676537', '975042257630978049', '372573976', '1105577124042174464', '1305183800998076418', '1295853984608137217', '1191856718117892096', '21134585', '768269511866785793', '1297482875990925312', '1242332823043756033', '20391157', '1239722966763679747', '1148084312429871104', '338144421', '1301651654069161985', '1297388227708551168', '1013510641322258432', '1158230993289011200', '1002206262', '829876037819445248', '1009993631560691713', '2435767106', '794443908486991876', '1133435945993289729', '2238364613', '1299797548362727424', '1242465012423118851', '2876675373', '1180284099052728320', '1006432441639133184', '1289102086538493952', '2394835339', '1233276713162899456', '1274548455248203777', '275866844', '1245887938317234176', '366454430', '2896899179', '1247287096060137475', '979205894', '927797192819032064', '940702040497557505', '1027119011476041728', '782615293327585280', '712852006633914369', '164526716', '1289292966196961280', '431252146', '598944192', '1083942483745300481', '1216492460211306496', '1292937614224310273', '1037127516354277376', '1021229221', '1105666759762153472', '2784229967', '1227922014087806976', '3784625243', '2451850303', '1290489991622094848', '1290338574500388865', '1219665675767160832', '1290107428004982786', '33101402', '1289086637390135302', '1279795003884273671', '937845833843822592', '271765772', '803749114118860804', '3014790274', '705943885822824448', '1203017773808533504', '1229495549897953280', '1108119684098879488', '1285377900766789639', '904817126665531392', '153659165', '4491753014', '1035087484516855808', '1267202242060279808', '1287871632992763905', '500794341', '496004529', '1242465959660716032', '25239301', '392497998', '3047561660', '1285264282133786626', '1878174157', '1178723128320647174', '1191406287541723136', '53367876', '2925744135', '441408130', '1726953288', '795362454091886592', '1186520381101756417', '1262726891410259969', '1210129206', '296524028', '354598532', '1000873644942381056', '2547291020', '427736506', '1194190682396577792', '1191583574597783553', '1249148184842158083', '796456205329657856', '1190546058159386624', '1199696646', '1135742101583347712', '233778709', '914155890349150208', '17581319', '1218430910627897344', '55994728', '959574822186508288', '1111860588248862721', '1570774003', '1337604198', '1271236254592454662', '1191739998183100416', '2992406288', '2837489893', '1034983920314593280', '705259751165263872', '1436578262', '1229588556542332928', '330168470', '1208800273964994562', '2905858383', '1270330970034626564', '1262709104176324608', '1271224998653542400', '1271097527673122816', '3192975130', '2314795644', '354731301', '1055913264129880064', '784432271038226432', '1186343480508858369', '1269233706306342913', '1266903679350734848', '1246158023627649024', '2752145101', '16739068', '437918215', '940822013756760066', '1166206260557074432', '1266898602863071240', '702143152992313344', '1234545691046924288', '16959216', '1162733598811787266', '1691658151', '1202717900483772422', '1189933215995195393', '2240060174', '1242526064338853889', '87792705', '1046063860644548616', '1008492837896269825', '887552714170916864', '794341975205912576', '1082512795046998016', '345996676', '1032020371615174656', '277194725', '22786352', '1235653433627197442', '1256935111376998401', '29240076', '870401658', '1198090642959872000', '17239228', '1101516144039608320', '1058770015430828033', '597183777', '2668783433', '22936656', '876276781338296320', '622122109', '1252248173654966274', '1250112923034411011', '889037207310348289', '750206195713994752', '2964903159', '1246583737124519938', '733441241770233856', '1248584082445029381', '84416599', '1153206843658784770', '1192999160204550145', '1247427032033755140', '1228902931241455617', '30264749', '1017296308342870017', '1113183169644298246', '973343660006817792', '1216787181965983744', '1242668835792175105', '1208878166225362944', '1034086647321821184', '1151534251864723457', '1109530912511983616', '1241748861082877954', '988556164697874432', '1240017971029987329', '223818125', '459785730', '408848541', '1235724096236855296', '816423008260734978', '1013285413098868737', '2359029782', '1232341196430659584', '957044578120433664', '2884767580', '321997729', '1127641854537818114', '807787296959307777', '1218322617117106176', '1196145409841909766', '1400974579', '1162060550035189761', '835127018916212740', '1044140072658980865', '1199129271220002816', '1196945531571965952', '1190298167666806786', '1189761987288264704', '1186819709221658624', '2634504171', '2821134268', '2962293341', '169389686', '1174782208516734977', '1114975081212600320', '799750243579359233', '1169792414921515009', '23148933', '1138570644084256768', '2189667499', '955491732539478017', '825943525179084802', '1156874592440524800', '579890362', '2244249473', '1666137794', '1143509667336916992', '1022281503152062469', '23416945', '14453723', '1097962122057789441', '1086093637593845761', '6762802', '4758001661', '1014652279528435713', '423999623', '5943622', '2949898547', '270618076', '153535083', '184469967', '28066800', '1098402457816727552', '1191870096', '1084825631253245952', '4701504852', '3188285216', '804460671358341120', '540098295', '1076058720985993217', '1010711915000225795', '896205182', '786398898738737152', '713032238917529601', '827575618766241792', '166946619', '1057896292607844352', '3300975598', '980068983696252929', '841753319139905536', '529916796', '888546253071679488', '1038581544984760320', '3010389594', '1010914093992210433', '2344519220', '25945732', '1010840035292274689', '935613030255202304', '1000723954783301632', '998413056995708928', '2781947299', '983330118524256258', '984247159066214400', '937556413898883074', '12755702', '916971410802855936', '3920289735', '713025817702432768', '1347446384', '2204609910', '900458712636280833', '2399848226', '1421764452', '844356595735781376', '213314111', '844651544624672769', '899730788257812480', '851363631975497729', '21537801', '890438559030816768', '839998182213984256', '15996614', '3300403990', '1146240788', '882524476335771649', '17659689', '2906262687', '853861390221692928', '222156039', '843618405399715840', '842747887', '2828506917', '721481155', '2595711446', '278264929', '463790597', '65351721', '788853282651443201', '706394380039544833', '785905069367537664', '140636962', '161014410', '2992793751', '27662600', '3331627803', '34412958', '2288820930']"
226,1242881044388470786,[]
227,1299797548362727424,"['1315268880336670720', '3996216977', '1248584082445029381', '1109530912511983616']"
228,609469374,[]
229,1321874999796523013,[]
230,2931202552,"['184469967', '2288820930', '23959470', '1034983920314593280', '3920289735', '1038581544984760320', '61893435']"
231,1004785108249788417,['958816783942717440']
232,3002991206,[]
233,3300098869,[]
234,36175896,[]
235,1229495549897953280,"['940822013756760066', '2288820930', '1878174157', '1287873982482526208', '853861390221692928', '796456205329657856', '169389686']"
236,408848541,[]
237,2821134268,"['288644170', '2837489893', '1267545970717458442', '1209625640451874817', '34500613', '2660568822', '1333144550404190209', '33101402', '1257922300923588611', '3331627803', '1000873644942381056', '22936656', '4181685500', '1327053201070178304', '126856720', '3014790274', '1326134677581815808', '1321955412241915905', '1172736386153230336', '1315268880336670720', '1274548455248203777', '1238918685764526080', '923417736943980544', '1310460427168550913', '1216492460211306496', '1237394911', '1186343480508858369', '771161987904659456', '1279445681380483073', '165659955', '1046063860644548616', '1141593358097440768', '21134585', '2896899179', '321997729', '25239301', '1013510641322258432', '1235653433627197442', '1114975081212600320', '459785730', '153659165', '1296760117254397952', '1256935111376998401', '1021229221', '23148933', '1270875535350980608', '265810704', '1289102086538493952', '598944192', '1266898602863071240', '913897460', '1083942483745300481', '1247168157950844934', '381766256', '1034983920314593280', '3784625243', '2949898547', '1202717900483772422', '1113183169644298246', '275866844', '2344519220', '1878174157', '1037127516354277376', '927797192819032064', '999858809295155200', '1084825631253245952', '2244249473', '1116737761560625152', '2496358544', '184469967', '2752145101', '272591364', '1180284099052728320', '597183777', '12755702', '929532448999952384', '16947736', '940822013756760066', '4758001661', '1198090642959872000', '1063508633156272128', '327755907', '4701504852', '796456205329657856', '1105923286502965249', '2962293341', '394125615']"
238,1242332823043756033,[]
239,995182408516493313,[]
240,345996676,['788853282651443201']
241,958816783942717440,"['1349600297853870081', '1315338410639478790', '1151534251864723457', '4701504852', '1108119684098879488', '1279795003884273671', '1241718813491683329', '706394380039544833', '1143509667336916992', '1180284099052728320', '21537801', '2896899179', '816423008260734978', '1022281503152062469', '3047561660', '2204609910', '1266898602863071240', '1570774003', '1186520381101756417', '1235653433627197442', '22936656', '1199129271220002816', '788853282651443201', '2828506917', '1004785108249788417', '2288820930']"
242,929532448999952384,[]
243,1367996418,['1202368997687275521']
244,2992793751,"['593535209', '1247168157950844934', '455261114', '1199129271220002816', '804460671358341120', '161014410', '2288820930']"
245,853605980,['1146240788']
246,916971410802855936,[]
247,1318309048391958528,[]
248,1271224998653542400,[]
249,1137491888561217536,"['169389686', '940822013756760066', '1202368997687275521']"
250,918685220,['3784625243']
251,972551389175013376,[]
252,1349436145013178368,[]
253,1701295940,[]
254,529916796,"['1351326369762979847', '455261114', '213314111', '1109530912511983616']"
255,1341961443046993921,[]
256,988556164697874432,[]
257,829876037819445248,[]
258,1343648732621860864,['931148100']
259,1274548455248203777,[]
260,1305183800998076418,[]
261,164526716,[]
262,3996216977,[]
263,79859561,[]
264,1006574408,[]
265,998448900,[]
266,5943622,"['1351326369762979847', '776914774445682689', '1249597572412563457', '959574822186508288', '3010389594', '271765772', '84416599', '2923474740', '3784625243', '1262726891410259969', '1199129271220002816', '20391157', '3014790274', '75756888', '1248584082445029381', '112941661', '1082512795046998016', '712852006633914369', '16959216', '1021066824', '1264870567', '1158386372605952000', '2399848226', '185858759', '2189667499', '2314795644', '1001965286348607488', '1146240788', '21537801', '1010711915000225795', '22936656', '389246433', '914155890349150208', '889661647186526208', '352494697', '23148933', '256698038', '799750243579359233', '805169570', '842747887', '3331627803', '1587062185', '34821791', '1916122094', '427068272', '529916796', '15996614', '34412958', '463790597']"
267,280223894,[]
268,2244249473,[]
269,153535083,"['165252927', '1004785108249788417']"
270,2262175586,[]
271,20633797,[]
272,22786352,[]
273,1918512169,[]
274,1199129271220002816,"['1349600297853870081', '1248584082445029381', '2288820930', '706394380039544833']"
275,29240076,"['1022281503152062469', '1146240788']"
276,1267545970717458442,[]
277,1325088499209564168,['22936656']
278,213314111,"['1199129271220002816', '352494697', '1127641854537818114', '455261114', '529916796', '24279084', '2288820930']"
279,870401658,[]
280,1269005064829468672,[]
281,27662600,"['916971410802855936', '3950452641', '1320846991417552896', '1143509667336916992', '1347446384', '1194190682396577792', '1212555393437597697', '1199129271220002816', '1242668835792175105', '1109530912511983616', '2905858383', '2204609910', '1146240788', '34412958', '34821791', '841753319139905536', '713025817702432768', '983330118524256258', '1916122094', '61893435', '222156039', '1004785108249788417', '3331627803', '161014410', '785905069367537664', '890438559030816768', '2595711446']"
282,366454430,[]
283,1006432441639133184,[]
284,463790597,"['841753319139905536', '61893435']"
285,3014790274,[]
286,1234134099574476800,[]
287,904817126665531392,['1146240788']
288,34500613,[]
289,3084237105,[]
290,1252248173654966274,"['1242881044388470786', '1349823231641862144', '169389686', '1146240788', '1313672833583767553', '2189667499', '2905858383', '1198090642959872000', '937845833843822592', '1331606867219509250', '1334903263104266244', '721481155', '16959216', '1000873644942381056', '278264929', '1202717900483772422', '1034983920314593280', '3920289735', '853861390221692928', '1156874592440524800', '1086093637593845761', '21537801', '1014652279528435713', '1248584082445029381', '1151534251864723457', '2906262687', '785905069367537664', '1262709104176324608', '1076058720985993217', '2288820930', '973343660006817792', '1046063860644548616', '706394380039544833', '788853282651443201', '1114975081212600320']"
291,720065147121762304,"['796456205329657856', '61893435']"
292,2494360333,[]
293,3350289029,[]
294,1337604198,[]
295,431252146,[]
296,839998182213984256,[]
297,721481155,"['1151534251864723457', '25945732', '1114975081212600320', '794341975205912576', '841753319139905536', '1199129271220002816', '3920289735', '2288820930']"
298,2505651811,[]
299,1191870096,"['1339823076452814848', '1169792414921515009', '1156874592440524800', '16959216', '2288820930']"
300,785327329769820160,[]
301,2752145101,[]
302,15996614,"['356249643', '288644170', '1199129271220002816', '5943622', '788853282651443201', '2288820930', '61893435', '184469967']"
303,1266903679350734848,[]
304,354731301,[]
305,1304540067445256194,[]
306,842796176,[]
307,1208800273964994562,[]
308,916010616233627648,"['1199129271220002816', '2288820930']"
309,1158230993289011200,"['1034983920314593280', '437918215']"
310,900458712636280833,"['16959216', '1242465959660716032', '1114975081212600320', '1057896292607844352']"
311,1219665675767160832,[]
312,1691658151,"['356249643', '1114975081212600320', '1238918685764526080', '882524476335771649', '1189344488382222336', '22936656', '3331627803', '1296142992936493056', '1290489991622094848', '2288820930', '1269005064829468672', '841753319139905536', '3950452641', '45905012', '1216804302213255170', '1083942483745300481']"
313,1326918879193468935,[]
314,2359029782,['2595711446']
315,2964903159,[]
316,1292937614224310273,[]
317,387042456,[]
318,1105666759762153472,[]
319,112941661,[]
320,1091797225888313345,[]
321,943343899543785475,[]
322,1309114160945475589,"['1262709104176324608', '1234545691046924288', '1058770015430828033', '1248584082445029381', '1301694836177854464', '1320846991417552896', '702143152992313344', '1013510641322258432', '455261114', '169389686', '1151534251864723457', '12755702', '1156874592440524800', '609469374', '889037207310348289', '794341975205912576', '1084825631253245952', '2344519220', '1343665394809245698', '1027119011476041728', '1241748861082877954', '1137491888561217536', '1241718813491683329', '1249148184842158083', '1308907445255692288', '1108119684098879488', '827575618766241792', '2906262687', '975042257630978049', '2964903159', '1242465012423118851', '1270330970034626564', '1691658151', '22936656', '3014790274', '1114975081212600320', '1170446364192444424', '1175545052808003584', '1158230993289011200', '1295853984608137217', '3784625243', '841753319139905536', '1304806684716609537', '1322569116876591111', '29488686', '1009133699332370433', '166946619', '844356595735781376', '1227922014087806976', '2634504171', '858396196922109956', '1319348416938496005', '828997376237002752', '829876037819445248', '2288820930', '931148100', '16959216', '876276781338296320', '1148084312429871104', '1301651654069161985', '529916796', '184469967']"
323,177457008,[]
324,2496358544,[]
325,209304300,[]
326,348914862,[]
327,877596573047414785,[]
328,705259751165263872,[]
329,1296296692061528067,[]
330,1331606867219509250,[]
331,1046063860644548616,['1146240788']
332,1350460350840377344,[]
333,1242465959660716032,"['1035087484516855808', '356249643', '947125994804137984', '1114975081212600320', '1297388227708551168']"
334,1319348416938496005,['828997376237002752']
335,3300403990,['788853282651443201']
336,3082786098,[]
337,836348157596471296,[]
338,1034086647321821184,[]
339,1310460427168550913,['1146240788']
340,1156874592440524800,"['1252248173654966274', '1114975081212600320', '1191739998183100416']"
341,1191406287541723136,['853861390221692928']
342,172273396,"['1315268880336670720', '1202368997687275521', '1034983920314593280']"
343,1032020371615174656,[]
344,16947736,"['3331627803', '2579734706', '61893435']"
345,1336327740107104257,[]
346,1349793847145082883,[]
347,256698038,[]
348,1212352198354407424,[]
349,165252927,['1271097527673122816']
350,1322195978150125569,[]
351,701143431410798593,[]
352,1255916148245377024,[]
353,240401093,[]
354,2837489893,[]
355,1321955412241915905,[]
356,1204048150727712770,[]
357,1256935111376998401,"['3331627803', '713025817702432768', '1234545691046924288', '1336553789273165828', '1242332823043756033', '1242465959660716032', '1046063860644548616', '1076058720985993217', '785905069367537664', '1347446384', '983330118524256258', '973343660006817792', '1114975081212600320', '706394380039544833']"
358,6762802,[]
359,24279084,"['75756888', '529916796', '463790597']"
360,980068983696252929,[]
361,844356595735781376,"['1308907445255692288', '1246583737124519938', '3920289735', '1034983920314593280', '1086093637593845761', '61893435']"
362,2781947299,"['1878174157', '437918215']"
363,496004529,['1878174157']
364,3331627803,"['1199129271220002816', '788853282651443201', '2288820930']"
365,849006768147582977,[]
366,2388080000,[]
367,2925744135,[]
368,1101516144039608320,['1146240788']
369,437918215,"['2962293341', '1146240788', '2781947299', '21537801']"
370,1270330970034626564,"['3014790274', '21537801', '841753319139905536']"
371,540098295,[]
372,579890362,[]
373,277194725,[]
374,1133435945993289729,[]
375,1395707509,[]
376,2660568822,['61893435']
377,984228098894790661,[]
378,1162060550035189761,[]
379,726500387201626112,[]
380,85906115,[]
381,53367876,[]
382,1240017971029987329,[]
383,1262726891410259969,[]
384,1342631987471904774,[]
385,427068272,[]
386,21134585,[]
387,1034042455799283713,[]
388,1111860588248862721,[]
389,1117453361098440704,[]
390,1247168157950844934,[]
391,27524557,[]
392,1257773348056174593,[]
393,1342680230117470208,['392497998']
394,979205894,[]
395,1202394381933826048,[]
396,998413056995708928,[]
397,1021066824,[]
398,3300975598,[]
399,321997729,[]
400,705943885822824448,[]
401,1304806684716609537,[]
402,2175983130,['1329041183729922055']
403,882524476335771649,"['1315268880336670720', '1878174157', '529916796']"
404,499237272,[]
405,1192999160204550145,[]
406,1570774003,['1086093637593845761']
407,1105577124042174464,[]
408,427736506,[]
409,1143509667336916992,[]
410,1295853984608137217,['1146240788']
411,825943525179084802,"['1319348416938496005', '1325088499209564168', '288644170', '828997376237002752', '2757826597', '843850543177129985', '1242526064338853889', '1241748861082877954', '622122109', '931148100', '1208878166225362944', '3331627803', '2964903159', '807787296959307777', '835127018916212740', '1242668835792175105']"
412,1242668835792175105,"['1269344194042097665', '184469967', '835127018916212740', '706394380039544833', '23959470', '1199129271220002816', '825943525179084802']"
413,389246433,[]
414,713025817702432768,"['1114975081212600320', '839998182213984256']"
415,1054242173707870213,['1146240788']
416,1232341196430659584,[]
417,883016318,['387042456']
418,65351721,[]
419,3047561660,['1235653433627197442']
420,593535209,[]
421,2387059939,[]
422,4627316907,[]
423,1113183169644298246,[]
424,464620194,"['1321955412241915905', '3784625243', '1245887938317234176', '771161987904659456', '579890362', '20391157', '1098402457816727552', '14453723', '1888103546', '1058770015430828033', '1054242173707870213', '905593121886621700', '947125994804137984', '265810704', '387042456', '720065147121762304', '1916122094', '235027782']"
425,61893435,"['1878174157', '794341975205912576', '1347313527338332163', '1158386372605952000', '843850543177129985', '1218322617117106176', '430248296', '1212555393437597697', '1021229221', '169389686', '1057896292607844352', '947125994804137984', '883016318', '1038581544984760320', '1105923286502965249', '23416945', '973343660006817792', '841753319139905536', '529916796', '2931202552', '1084825631253245952', '27662600', '3010389594', '1009133699332370433', '36313672', '25945732', '1004785108249788417', '14453723', '34821791', '1001691750078078976', '914155890349150208', '1146240788', '327755907', '720065147121762304', '748609156811198464', '265810704', '2288820930', '890438559030816768', '21537801', '844356595735781376', '3920289735', '2660568822', '15996614', '794443908486991876', '911325692226412544', '222156039', '478319089', '16947736', '463790597', '1421764452', '184469967', '3331627803', '1916122094']"
426,1334330204337016832,[]
427,1290107428004982786,[]
428,1231751258081501184,[]
429,1103749297781108737,[]
430,1000912706457616384,['1146240788']
431,1154880748761079809,[]
432,16739068,[]
433,2940142856,[]
434,1326134677581815808,"['1291858361714188289', '1320846991417552896', '839998182213984256', '21537801', '2906262687', '1269344194042097665', '1250112923034411011']"
435,1269344194042097665,['1242668835792175105']
436,1421764452,[]
437,2451667585,[]
438,23148933,"['1146240788', '25945732']"
439,1123467389654450177,[]
440,1329041183729922055,['2175983130']
441,1403859446,[]
442,1301651654069161985,"['1146240788', '1000873644942381056']"
443,222156039,[]
444,1180284099052728320,[]
445,964232560669753346,[]
446,3138002277,[]
447,1257626100705918982,[]
448,794443908486991876,[]
449,2303378239,[]
450,1158386372605952000,[]
451,895046957323796480,[]
452,1267543868469207040,[]
453,2923474740,[]
454,1014652279528435713,['3784625243']
455,3796931775,[]
456,1322569116876591111,[]
457,2240060174,[]
458,843850543177129985,[]
459,905593121886621700,[]
460,1003504347395702785,[]
461,1301694836177854464,[]
462,1216787181965983744,[]
463,143905506,[]
464,973343660006817792,"['1350074326108807169', '3331627803', '1349600297853870081', '784432271038226432', '2288820930', '1269005064829468672', '1199129271220002816', '1235653433627197442', '1146240788', '1206201712312238081', '1076058720985993217', '1109530912511983616', '1156874592440524800', '1347446384', '1202717900483772422', '1256935111376998401', '1252248173654966274', '1114975081212600320']"
465,2949898547,[]
466,1032316286108413952,[]
467,1042904755037560832,"['1351336554539585538', '916010616233627648', '2288820930', '2757826597', '4758001661', '184469967', '796456205329657856']"
468,819343641604919300,['1191739998183100416']
469,959574822186508288,[]
470,14457368,[]
471,1270875535350980608,[]
472,2765252674,[]
473,1169792414921515009,['1326134677581815808']
474,1320787471852957697,[]
475,423714603,[]
476,2399848226,[]
477,233778709,[]
478,914155890349150208,['1146240788']
479,795362454091886592,[]
480,1076058720985993217,"['1350074326108807169', '1315268880336670720', '1156874592440524800', '1256935111376998401', '3331627803', '785905069367537664', '16959216', '1170446364192444424', '1114975081212600320', '1127641854537818114', '702143152992313344', '22936656', '1034983920314593280', '1199129271220002816', '1017296308342870017', '1347446384', '2288820930']"
481,2344519220,[]
482,16959216,"['1351326369762979847', '927797192819032064', '1270330970034626564', '1342680230117470208', '1878174157', '1301651654069161985', '776914774445682689', '1248584082445029381', '931148100', '1148084312429871104', '858396196922109956', '3920289735']"
483,1317036262243528704,[]
484,1333144550404190209,[]
485,1289183796395270145,[]
486,2579734706,[]
487,20391157,"['1156874592440524800', '3010389594', '1098402457816727552', '5943622', '16947736', '914155890349150208']"
488,1210129206,[]
489,828997376237002752,"['1319348416938496005', '1202368997687275521']"
490,4847479565,[]
491,1249148184842158083,"['1309114160945475589', '3331627803']"
492,1097962122057789441,[]
493,3258423608,"['22936656', '1208878166225362944', '1279795003884273671', '1108119684098879488', '931148100', '1266212568122736641', '1158386372605952000', '1127641854537818114', '2931202552', '1109530912511983616', '1022281503152062469', '976843535029882880', '1046063860644548616', '788853282651443201', '29488686', '816423008260734978', '890438559030816768', '1309055787571044352', '988556164697874432', '3331627803', '1143509667336916992', '3014790274', '1252248173654966274', '958816783942717440', '1301651654069161985', '579890362', '184469967', '1235653433627197442', '1156874592440524800', '1032020371615174656', '785905069367537664', '844356595735781376', '1285264282133786626', '1114975081212600320', '2288820930', '1162060550035189761', '16959216', '455261114', '529916796', '702143152992313344']"
494,270618076,[]
495,272591364,[]
496,1105923286502965249,"['1310460427168550913', '1309055787571044352', '788853282651443201', '92079991', '1116737761560625152', '2821134268', '796456205329657856', '25945732', '2962293341', '1034983920314593280', '1198090642959872000', '947125994804137984', '61893435']"
497,1135952863052648449,['983330118524256258']
498,506622916,[]
499,1271097527673122816,"['165252927', '1235653433627197442', '1170446364192444424', '1114975081212600320']"
500,788816077925089280,[]
501,4176057207,['423999623']
502,1318151684,[]
503,879707214797307904,[]
504,1021229221,['760532333569183744']
505,1309055787571044352,"['1202368997687275521', '1135742101583347712']"
506,459785730,"['3010389594', '1001691750078078976', '773730398597709824']"
507,137539707,[]
508,937556413898883074,[]
509,33101402,[]
510,24387168,[]
511,858396196922109956,"['169389686', '16959216', '184469967', '976843535029882880', '1247278211286929419', '1202717900483772422']"
512,1189933215995195393,[]
513,1339812393224871936,[]
514,1290338574500388865,"['1350074326108807169', '1878174157', '1266898602863071240', '807787296959307777', '796456205329657856', '1248584082445029381', '1146240788', '1108119684098879488', '1202368997687275521', '4181685500', '2288820930', '1114975081212600320']"
515,1290489991622094848,"['1691658151', '1146240788']"
516,1570976683,[]
517,1308204635308666881,[]
518,3943888574,[]
519,1267202242060279808,"['927797192819032064', '2757826597', '794341975205912576']"
520,1010711915000225795,['3331627803']
521,965828495925379072,[]
522,161014410,['2992793751']
523,1002206262,[]
524,430248296,[]
525,1336553789273165828,[]
526,1126889352083189760,[]
527,4758001661,[]
528,1350159260009676801,[]
529,22936656,"['1325088499209564168', '16959216', '1146240788', '1202368997687275521']"
530,1207351125588029441,[]
531,3052005313,[]
532,1269233706306342913,['1229495549897953280']
533,1135742101583347712,"['1309055787571044352', '2288820930']"
534,862812529315262465,[]
535,913897460,[]
536,786398898738737152,[]
537,36313672,[]
538,1016069884147568640,[]
539,702143152992313344,['1191739998183100416']
540,889037207310348289,['2757826597']
541,1326033211416342531,[]
542,1296142992936493056,['841753319139905536']
543,1345440300702040065,"['1334903263104266244', '1241718813491683329']"
544,1098402457816727552,[]
545,2634504171,"['702143152992313344', '1198090642959872000', '1204229532548419585', '1217314447833862144', '1269421667819937792', '1570774003', '1235653433627197442', '1156874592440524800', '1135742101583347712', '931148100', '2906262687', '2962293341', '748609156811198464', '1270330970034626564', '1083942483745300481', '1146240788', '937845833843822592', '1249148184842158083', '1322569116876591111', '784432271038226432', '1186343480508858369', '858396196922109956', '1022281503152062469', '278264929', '1304806684716609537', '1034983920314593280', '1266212568122736641', '788853282651443201', '3014790274', '1114975081212600320', '2288820930']"
546,1916122094,"['1209625640451874817', '61893435']"
547,372573976,[]
548,1216492460211306496,[]
549,1337151218880311298,[]
550,874741267,[]
551,1350491900382380032,[]
552,1013285413098868737,[]
553,1181041239774203904,[]
554,1262709104176324608,['356249643']
555,1332968505088458753,[]
556,2891404443,[]
557,1228902931241455617,[]
558,92079991,[]
559,2905858383,['1252248173654966274']
560,3333744253,[]
561,55994728,[]
562,1308907445255692288,['1146240788']
563,30264749,[]
564,352494697,"['1421764452', '213314111', '1022281503152062469']"
565,1190298167666806786,[]
566,1212555393437597697,"['14453723', '1878174157', '1349600297853870081', '1336553789273165828', '1200924774148407296', '2906262687', '12755702', '278264929', '1111860588248862721', '927797192819032064', '1326918879193468935', '1113183169644298246', '3014790274', '849006768147582977', '1013510641322258432', '15996614', '1208800273964994562', '1114975081212600320', '1343665394809245698', '1270330970034626564', '455261114', '1321874999796523013', '1202717900483772422', '16959216', '352494697', '1327053201070178304', '1004785108249788417', '499237272', '2288820930', '1269233706306342913', '713025817702432768', '1082512795046998016', '1126889352083189760', '1204048150727712770', '1184507359470612481', '172273396', '21537801', '288644170', '1291858361714188289', '1143509667336916992', '804460671358341120', '803749114118860804', '1267202242060279808', '1257626100705918982', '593535209', '1324042134782058498', '947125994804137984', '1436578262', '2905858383', '702143152992313344', '1271236254592454662', '1249148184842158083', '796456205329657856', '914155890349150208', '771161987904659456', '3010389594', '430248296', '883016318', '27662600', '1198090642959872000', '1158386372605952000', '1209625640451874817', '975042257630978049', '794443908486991876', '2931202552', '1032020371615174656', '34821791', '841753319139905536', '25945732', '1218322617117106176', '1146240788', '1001691750078078976', '1084825631253245952', '3920289735', '3331627803', '911325692226412544', '844356595735781376', '1916122094', '265810704', '184469967', '61893435']"
567,1172736386153230336,[]
568,1239722966763679747,[]
569,1279445681380483073,"['1063508633156272128', '931148100']"
570,1400974579,[]
571,2784229967,[]
